"B" Girls,1990,14,69.57	
"Cherry Cherry" from Hot August Night,1973,9,47.56	
"Having A Party" Medley,1973,8,77.75	
"Joy" Pt. I,1973,1,72.00	
"Joy" Pt. I,1974,7,38.00	
"Roots" Medley,1977,6,68.50	
"Yep!",1959,8,53.62	
#1 Dee Jay,1978,4,88.25	
#1,2001,10,41.70	
#1,2002,9,34.78	
#9 Dream,1974,1,68.00	
#9 Dream,1975,10,25.20	
#Beautiful,2013,15,32.93	
#SELFIE,2014,10,37.30	
#thatPOWER,2013,15,40.27	
$ave Dat Money,2015,4,95.25	
$ave Dat Money,2016,12,82.25	
'03 Bonnie & Clyde,2002,9,19.56	
'03 Bonnie & Clyde,2003,13,12.08	
'65 Love Affair,1982,19,32.63	
'98 Thug Paradise,1998,4,89.00	
'Round We Go,1996,1,91.00	
'Til My Baby Comes Home,1985,15,53.07	
'Til Summer Comes Around,2010,15,73.53	
'Til You Can't,2021,2,85.00	
'Til You Do Me Right,1995,21,41.95	
'Til,1961,8,56.00	
'Til,1962,4,22.75	
'Tis The Damn Season,2021,1,39.00	
'til I Can Make It On My Own,1976,4,94.50	
'til It's Time To Say Goodbye,1976,8,58.12	
('til) I Kissed You,1959,15,16.53	
(1-2-3-4-5-6-7) Count The Days,1968,3,85.67	
(A Ship Will Come) Ein Schiff Wird Kommen,1961,3,92.00	
(All I Have To Do Is) Dream,1975,5,77.80	
(All Of A Sudden) My Heart Sings,1965,6,52.17	
(All of a Sudden) My Heart Sings,1958,1,39.00	
(All of a Sudden) My Heart Sings,1959,15,31.07	
(Any Way That You Want It) I'll Be There,1978,3,82.33	
(Baby Tell Me) Can You Dance,1987,7,58.00	
(Baby Tell Me) Can You Dance,1988,5,71.40	
(Baby) Hully Gully,1960,5,83.20	
(Baby) Turn On To Me,1970,7,68.71	
(Believed You Were) Lucky,1989,2,96.50	
(Between A) Rock And A Hard Place,1989,4,82.75	
(Bringing Out) The Girl In Me,1979,4,79.50	
(Call Me Your) Anything Man,1975,1,99.00	
(Call Me) When The Spirit Moves You,1980,4,75.50	
(Can't Live Without Your) Love And Affection,1990,25,37.36	
(Closest Thing To) Perfect,1985,6,77.67	
(Come 'round Here) I'm The One You Need,1966,8,42.38	
(Come On) Shout,1985,5,84.60	
(Dance The) Mess Around,1961,6,39.33	
(Dance With The) Guitar Man,1962,12,37.58	
(Dance With The) Guitar Man,1963,3,37.00	
(Do The New) Continental,1962,9,60.22	
(Do The) Push And Pull Part I,1970,1,92.00	
(Do The) Push And Pull Part I,1971,11,42.73	
(Doin' The) Lovers Leap,1960,1,96.00	
(Don't Fear) The Reaper,1976,19,35.21	
(Don't Worry) If There's A Hell Below We're All Going To Go,1970,5,68.40	
(Don't Worry) If There's A Hell Below We're All Going To Go,1971,6,38.50	
(Down At) Papa Joe's,1963,12,37.00	
(Every Time I Turn Around) Back In Love Again,1977,11,31.27	
(Every Time I Turn Around) Back In Love Again,1978,7,21.14	
(Everything I Do) I Do It For You,1991,21,19.48	
(For God's Sake) Give More Power To The People,1971,10,44.10	
(Forever) Live And Die,1986,13,42.69	
(Forever) Live And Die,1987,3,70.33	
(Ghost) Riders In The Sky,1961,8,62.62	
(Ghost) Riders In The Sky,1981,14,55.07	
(Girls, Girls, Girls) Made To Love,1962,10,30.30	
(God Must Have Spent) A Little More Time On You,1998,3,53.67	
(God Must Have Spent) A Little More Time On You,1999,18,24.22	
(He's My) Dreamboat,1961,8,33.75	
(He's) Raining In My Sunshine,1966,3,92.33	
